author,number_of_books,average_rating
Agatha Christie,48,3.87
Gabriel Garcia Marquez,40,3.89
J.R.R. Tolkien,68,3.81
James Patterson,43,3.9
Margaret Weis,40,3.55
Mercedes Lackey,43,3.98
Orson Scott Card,45,3.71
P.G. Wodehouse,49,4.07
Sandra Brown,49,3.64
Stephen King,109,3.19
