author,number_of_books
Agatha Christie,48
Gabriel Garcia Marquez,40
J.R.R. Tolkien,68
James Patterson,43
Margaret Weis,40
Mercedes Lackey,43
Orson Scott Card,45
P.G. Wodehouse,49
Sandra Brown,49
Stephen King,109
