title,Amazon Rating,Goodreads Rating,Genre,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Where the Sidewalk Ends: Poems and Drawings,4.9,4.3,Fiction,Shel Silverstein,4.3,60572345,9780060572341,eng,192,3587,179,2/18/2014,HarperCollins Publishers
A Light in the Attic,4.7,4.34,Fiction,Shel Silverstein,4.34,60513063,9780060513061,eng,176,349247,2567,7/10/2002,HarperCollins Publishers
The Missing Piece (The Missing Piece  #1),4.7,4.28,Fiction,Shel Silverstein,4.28,60256710,9780060256715,eng,112,24366,746,1/24/2006,HarperCollins Publishers
The Missing Piece Meets the Big O,4.7,4.34,Fiction,Shel Silverstein,4.34,60256575,9780060256579,eng,104,10503,505,1/24/2006,HarperCollins Publishers
Lafcadio  the Lion Who Shot Back,4.7,4.15,Fiction,Shel Silverstein,4.15,60256753,9780060256753,eng,112,5308,307,9/24/2013,HarperCollins Publishers
A Light in the Attic (Book & CD),3.69,4.34,Fiction,Shel Silverstein,4.34,66236177,9780066236179,en-US,176,597,21,9/10/2001,HarperCollins Publishers
Runny Babbit Book and Abridged CD,4.07,4.12,Fiction,Shel Silverstein/Dennis Locorriere,4.12,61130478,9780061130472,en-US,96,44,6,9/26/2006,HarperCollins Publishers
For a Few Demons More (The Hollows  #5),4.02,4.33,Fiction,Kim Harrison,4.33,60788380,9780060788384,eng,456,48049,1104,3/20/2007,HarperCollins Publishers
A Fistful of Charms (The Hollows  #4),4.05,4.29,Fiction,Kim Harrison,4.29,60788194,9780060788193,eng,510,47773,1109,6/27/2006,HarperCollins Publishers
The Good  the Bad  and the Undead (The Hollows  #2),3.5,4.26,Fiction,Kim Harrison,4.26,60572973,9780060572976,eng,453,54083,1602,1/25/2005,HarperCollins Publishers
Every Which Way But Dead (The Hollows  #3),3.63,4.29,Fiction,Kim Harrison,4.29,006057299X,9780060572990,eng,501,60083,1213,6/28/2005,HarperCollins Publishers
Dead Witch Walking (The Hollows  #1),3.49,4.04,Fiction,Kim Harrison,4.04,60572965,9780060572969,en-US,416,99076,4091,1/7/2004,HarperCollins Publishers
Pacto Con un Demonio,3.61,4.39,Fiction,Kim Harrison,4.39,60898720,9780060898724,spa,512,0,0,1/7/2008,HarperCollins Publishers
Plato  Not Prozac!: Applying Eternal Wisdom to Everyday Problems,3.86,3.41,Non Fiction,Lou Marinoff,3.41,60931361,9780060931360,eng,320,870,67,1/8/2000,HarperCollins Publishers
Embracing the Love of God: The Path and Promise of Christian Life,3.98,4.26,Non Fiction,James Brian Smith/Richard J. Foster,4.26,60667419,9780060667412,eng,192,63,8,6/28/1995,HarperCollins Publishers
Tête-à-Tête: Simone de Beauvoir and Jean-Paul Sartre,3.68,4.11,Non Fiction,Hazel Rowley,4.11,60520590,9780060520595,eng,432,108,16,4/10/2005,HarperCollins Publishers
Readings for Meditation and Reflection,4.13,4.32,Non Fiction,C.S. Lewis/Walter Hooper,4.32,60652853,9780060652852,eng,176,272,27,5/1/1996,HarperCollins Publishers
The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,3.48,4.36,Fiction,C.S. Lewis/Walter Hooper,4.36,60727632,9780060727635,eng,1072,121,21,6/29/2004,HarperCollins Publishers
Cartas del diablo a su sobrino,3.7,4.22,Fiction,C.S. Lewis/Miguel Marias,4.22,006114004X,9780061140044,spa,144,409,54,3/14/2006,HarperCollins Publishers
The Four Loves,3.62,4.14,Fiction,C.S. Lewis,4.14,6280897,9780006280897,en-US,170,34681,1084,5/6/2002,HarperCollins Publishers
What Christians Believe,3.68,4.24,Non Fiction,C.S. Lewis,4.24,60761539,9780060761530,en-US,98,566,73,2/22/2005,HarperCollins Publishers
Crazy Lady!,3.82,3.64,Fiction,Jane Leslie Conly,3.64,64405710,9780064405713,eng,192,1510,100,1/19/1995,HarperCollins Publishers
The Rise of Christianity,3.89,4.04,Non Fiction,Rodney Stark,4.04,60677015,9780060677015,eng,272,1363,151,9/5/1997,HarperCollins Publishers
Under the Volcano,4.32,3.79,Fiction,Malcolm Lowry,3.79,60955228,9780060955229,eng,397,17894,837,4/26/2000,HarperCollins Publishers
Miss Marple Omnibus Vol. 3 (Murder at the Vicarage / Nemesis / Sleeping Murder / At Bertram's Hotel),4.21,4.32,Fiction,Agatha Christie,4.32,6499619,9780006499619,eng,688,138,5,10/7/1997,HarperCollins Publishers
Treasure Box,4.05,3.33,Fiction,Orson Scott Card,3.33,006109398X,9780061093982,eng,384,3646,189,1/10/1997,HarperCollins Publishers
What Came Before He Shot Her (Inspector Lynley  #14),3.99,3.56,Fiction,Elizabeth  George,3.56,60545623,9780060545628,eng,560,6669,668,10/17/2006,HarperCollins Publishers
With No One as Witness (Inspector Lynley  #13),3.72,4.04,Fiction,Elizabeth  George,4.04,60545615,9780060545611,eng,784,9952,529,2/28/2006,HarperCollins Publishers
Black Boy,3.79,4.05,Non Fiction,Richard Wright/Edward P. Jones,4.05,60834005,9780060834005,en-US,432,88,12,11/29/2005,HarperCollins Publishers
A Dance At The Slaughterhouse (Matthew Scudder  #9),3.89,4.18,Fiction,Lawrence Block,4.18,380813734,9780380813735,eng,294,3351,147,3/7/2000,HarperCollins Publishers
Summer of the Dragon,4,3.92,Fiction,Elizabeth Peters,3.92,380731223,9780380731220,eng,352,2419,102,6/3/2001,HarperCollins Publishers
Zelda's Cut,4.14,2.94,Fiction,Philippa Gregory,2.94,6511775,9780006511779,eng,432,65,12,1/2/2001,HarperCollins Publishers
The Night Remembers (Night  #1),3.91,3.79,Fiction,Kathleen Eagle,3.79,380784912,9780380784912,eng,355,228,25,1/6/1998,HarperCollins Publishers
River Out of Eden: A Darwinian View of Life,3.85,3.98,Non Fiction,Richard Dawkins/Lalla Ward,3.98,465069908,9780465069903,en-US,172,5891,192,8/23/1996,HarperCollins Publishers
Mutant Message Down Under,3.73,3.79,Fiction,Marlo Morgan,3.79,60723513,9780060723514,eng,187,11224,1249,5/25/2004,HarperCollins Publishers
Everville (Book of the Art #2),3.93,4.03,Fiction,Clive Barker,4.03,60933151,9780060933159,eng,697,8829,157,3/11/1999,HarperCollins Publishers
The Great and Secret Show (Book of the Art #1),3.57,4.05,Fiction,Clive Barker,4.05,006093316X,9780060933166,eng,658,25955,518,3/11/1999,HarperCollins Publishers
Abarat: Days of Magic  Nights of War,4.15,4.2,Non Fiction,Clive Barker,4.2,60596384,9780060596385,eng,569,12118,292,9/26/2006,HarperCollins Publishers
Imajica: The Reconciliation,3.99,4.42,Non Fiction,Clive Barker,4.42,61094153,9780061094156,eng,544,2583,30,10/5/1995,HarperCollins Publishers
Sacrament,3.99,3.75,Non Fiction,Clive Barker,3.75,6482643,9780006482642,eng,594,3942,106,1/5/1997,HarperCollins Publishers
Goodnight Moon,3.68,4.28,Fiction,Margaret Wise Brown/Clement Hurd,4.28,60775858,9780060775858,eng,32,276426,4975,1/23/2007,HarperCollins Publishers
Goodnight Moon 123: A Counting Book (Over the Moon),3.88,3.57,Fiction,Margaret Wise Brown/Clement Hurd,3.57,61125938,9780061125935,eng,32,198,22,1/7/2007,HarperCollins Publishers
Cathedral  Forge  and Waterwheel: Technology and Invention in the Middle Ages,3.89,3.86,Non Fiction,Frances Gies/Joseph Gies,3.86,60925817,9780060925819,eng,368,649,56,1/1/1995,HarperCollins Publishers
Kitchen Confidential: Adventures in the Culinary Underbelly,3.81,4.07,Non Fiction,Anthony Bourdain,4.07,60899220,9780060899226,eng,312,183882,9427,9/1/2007,HarperCollins Publishers
Fluke: Or  I Know Why the Winged Whale Sings,3.63,3.75,Non Fiction,Christopher Moore,3.75,006056668X,9780060566685,eng,321,35450,1953,6/15/2004,HarperCollins Publishers
Focus: The Future of Your Company Depends on It,3.76,4.06,Non Fiction,Al Ries/Laura Ries,4.06,60799900,9780060799908,eng,320,480,28,9/27/2005,HarperCollins Publishers
The 22 Immutable Laws of Marketing: Violate Them at Your Own Risk,3.73,4.05,Fiction,Al Ries/Jack Trout,4.05,887306667,9780887306662,en-US,143,13851,462,4/27/1994,HarperCollins Publishers
Bloodsucking Fiends (A Love Story  #1),3.77,3.94,Fiction,Christopher Moore,3.94,60735414,9780060735418,eng,300,52843,1868,1/6/2004,HarperCollins Publishers
Island of the Sequined Love Nun,3.76,3.8,Fiction,Christopher Moore,3.8,60735449,9780060735449,eng,325,27534,1247,5/25/2004,HarperCollins Publishers
