title,Amazon Rating,Goodreads Rating,Genre,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Metro Girl (Alex Barnaby  #1),3.91,3.62,Fiction,Janet Evanovich,3.62,60584025,9780060584023,eng,374,28987,1090,9/27/2005,HarperCollins Publishers
Love Overboard,3.92,3.65,Fiction,Janet Evanovich/C.J. Critt,3.65,006073695X,9780060736958,eng,5,95,22,1/25/2005,HarperCollins Publishers
The Rocky Road to Romance (Elsie Hawkins  #4),4.03,3.67,Fiction,Janet Evanovich/C.J. Critt,3.67,60738251,9780060738259,eng,5,93,26,8/31/2004,HarperCollins Publishers
Metro Girl (Alex Barnaby  #1),4.05,3.62,Fiction,Janet Evanovich/C.J. Critt,3.62,61126527,9780061126529,eng,6,79,29,7/25/2006,HarperCollins Publishers
Meeting Jesus Again for the First Time: The Historical Jesus and the Heart of Contemporary Faith,4.05,4.12,Non Fiction,Marcus J. Borg,4.12,60609176,9780060609177,en-US,160,4272,260,7/4/2015,HarperCollins Publishers
Reading the Bible Again for the First Time: Taking the Bible Seriously but Not Literally,4.05,4.13,Non Fiction,Marcus J. Borg,4.13,60609192,9780060609191,en-US,321,2959,187,7/4/2015,HarperCollins Publishers
Europe: A History,4.29,4.17,Non Fiction,Norman Davies,4.17,60974680,9780060974688,eng,1392,3394,163,1/20/1998,HarperCollins Publishers
As Nature Made Him: The Boy Who Was Raised as a Girl,4.08,3.97,Non Fiction,John Colapinto,3.97,60929596,9780060929596,eng,320,5456,619,2/20/2001,HarperCollins Publishers
Beauty: A Retelling of the Story of Beauty and the Beast,3.32,4.05,Fiction,Robin McKinley,4.05,64404773,9780064404778,eng,256,63876,3744,6/30/1993,HarperCollins Publishers
A Green Desire,4.07,3.73,Fiction,Anton Myrer/Alastair Westgarth,3.73,60934638,9780060934637,en-US,576,152,9,4/12/2001,HarperCollins Publishers
The Big War,4.16,3.85,Non Fiction,Anton Myrer,3.85,60934735,9780060934736,en-US,512,98,9,4/12/2001,HarperCollins Publishers
My Soul to Keep (African Immortals  #1),4.06,4.17,Fiction,Tananarive Due,4.17,006105366X,9780061053665,eng,346,3799,361,8/4/1998,HarperCollins Publishers
Hard Drive: Bill Gates and the Making of the Microsoft Empire,3.67,4.11,Non Fiction,James Wallace/Jim  Erickson,4.11,887306292,9780887306297,en-US,426,1234,41,3/26/1993,HarperCollins Publishers
Gold: The Final Science Fiction Collection,3.86,4,Fiction,Isaac Asimov/Orson Scott Card,4,60556528,9780060556525,eng,416,2476,85,10/21/2003,HarperCollins Publishers
Girls' Night In,3.68,3.26,Fiction,Jessica Adams/Chris Manby/Fiona Walker,3.26,6514855,9780006514855,en-GB,586,140,11,3/7/2000,HarperCollins Publishers
Strawberry Girl,3.96,3.87,Fiction,Lois Lenski,3.87,64405850,9780064405850,eng,208,11143,423,4/26/2005,HarperCollins Publishers
Betsy-Tacy and Tib (Betsy-Tacy  #2),3.96,4.17,Fiction,Maud Hart Lovelace/Lois Lenski,4.17,006024416X,9780060244163,eng,128,83,16,9/11/1994,HarperCollins Publishers
We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),3.76,4.31,Non Fiction,Harold G. Moore/Joseph L. Galloway,4.31,60506989,9780060506988,eng,535,166,24,5/2/2002,HarperCollins Publishers
Nimitz Class (Admiral Arnold Morgan  #1),3.89,3.92,Fiction,Patrick Robinson,3.92,60564423,9780060564421,eng,495,5402,97,3/2/2004,HarperCollins Publishers
Nimitz Class (Admiral Arnold Morgan  #1),4.16,3.92,Fiction,Patrick Robinson,3.92,61096849,9780061096846,eng,528,1,0,1/23/1998,HarperCollins Publishers
Mariel Hemingway's Healthy Living from the Inside Out: Every Woman's Guide to Real Beauty  Renewed Energy  and a Radiant Life,4.11,3.89,Non Fiction,Mariel Hemingway,3.89,60890398,9780060890391,eng,288,175,22,12/26/2006,HarperCollins Publishers
The Little Book of Coaching: Motivating People to Be Winners,3.75,3.65,Non Fiction,Kenneth H. Blanchard/Don Shula,3.65,66621038,9780066621036,en-US,128,73,12,1/23/2001,HarperCollins Publishers
The Nightingale's Song,4.19,3.88,Fiction,Kathleen Eschenburg,3.88,380815699,9780380815692,eng,384,16,3,10/30/2001,HarperCollins Publishers
Kilo Class (Admiral Arnold Morgan  #2),3.86,4.05,Fiction,Patrick Robinson,4.05,61096857,9780061096853,eng,512,1738,58,3/3/1999,HarperCollins Publishers
Barracuda 945 (Admiral Arnold Morgan  #6),3.97,3.97,Fiction,Patrick Robinson,3.97,60086637,9780060086633,eng,498,1119,27,6/29/2004,HarperCollins Publishers
H.M.S. Unseen (Admiral Arnold Morgan  #3),4.25,4.01,Fiction,Patrick Robinson/Sandler/David McCallum,4.01,61098019,9780061098017,eng,544,2076,38,1/3/2000,HarperCollins Publishers
U.S.S. Seawolf (Admiral Arnold Morgan  #4),4.09,3.96,Fiction,Patrick Robinson,3.96,61030651,9780061030659,eng,496,1581,46,1/5/2001,HarperCollins Publishers
Diana Vreeland,4.32,4.24,Fiction,Eleanor Dwight,4.24,688167381,9780688167387,eng,320,150,17,10/22/2002,HarperCollins Publishers
Amanda's Story (The Girls of Lighthouse Lane #4),3.78,4.04,Fiction,Thomas Kinkade/Erika Tamar,4.04,60543523,9780060543525,eng,208,4,0,3/14/2006,HarperCollins Publishers
Lizabeth's Story (The Girls of Lighthouse Lane #3),4.06,3.96,Fiction,Thomas Kinkade/Erika Tamar,3.96,60543493,9780060543495,eng,192,24,0,10/18/2005,HarperCollins Publishers
Are You Afraid of the Dark?,4.1,3.66,Fiction,Sidney Sheldon,3.66,7165161,9780007165162,eng,401,23924,681,1/7/2005,HarperCollins Publishers
Rage of Angels,3.3,3.93,Fiction,Sidney Sheldon,3.93,6178731,9780006178736,eng,512,30283,860,3/8/1999,HarperCollins Publishers
Thomas Jefferson: Author of America,3.54,3.91,Non Fiction,Christopher Hitchens,3.91,60598964,9780060598969,eng,188,2319,221,5/31/2005,HarperCollins Publishers
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,4.01,3.83,Fiction,Robin S. Sharma,3.83,62515675,9780062515674,eng,208,71133,3741,4/21/1999,HarperCollins Publishers
The Monk Who Sold His Ferrari: A Fable about Fulfilling Your Dreams and Reaching Your Destiny (Revised),4.3,3.83,Fiction,Robin S. Sharma,3.83,7179731,9780007179732,eng,241,781,93,12/31/2015,HarperCollins Publishers
Full Woman  Fleshly Apple  Hot Moon: Selected Poems,4.34,4.45,Fiction,Pablo Neruda/Stephen Mitchell,4.45,60928778,9780060928773,eng,288,1018,66,11/2/1998,HarperCollins Publishers
La telaraña de Carlota,4.28,4.17,Fiction,E.B. White/Guillermo Solana/Garth Williams,4.17,006075740X,9780060757403,spa,224,225,38,4/10/2005,HarperCollins Publishers
The Rose and the Beast: Fairy Tales Retold,4.34,3.77,Fiction,Francesca Lia Block,3.77,64407454,9780064407458,en-US,240,6872,395,7/8/2001,HarperCollins Publishers
I Was a Teenage Fairy,4.15,3.82,Fiction,Francesca Lia Block,3.82,64408620,9780064408622,eng,192,6599,236,3/5/2000,HarperCollins Publishers
Witch Baby (Weetzie Bat  #2),4.34,4.18,Fiction,Francesca Lia Block,4.18,64470652,9780064470650,eng,128,3576,110,1/1/1992,HarperCollins Publishers
Goat Girls (Weetzie Bat  #2-3),4.12,4.42,Fiction,Francesca Lia Block,4.42,60594349,9780060594343,en-US,240,469,5,6/7/2004,HarperCollins Publishers
Beautiful Boys (Weetzie Bat  #4-5),4.33,4.43,Fiction,Francesca Lia Block,4.43,60594357,9780060594350,en-US,304,413,5,6/7/2004,HarperCollins Publishers
Weetzie Bat (Weetzie Bat  #1),4.29,3.74,Fiction,Francesca Lia Block,3.74,60736259,9780060736255,eng,128,13013,1025,6/7/2004,HarperCollins Publishers
Testaments Betrayed: An Essay in Nine Parts,4.26,4.04,Fiction,Milan Kundera/Linda Asher/فروغ پوریاوری,4.04,60927518,9780060927516,eng,288,1294,59,2/8/1996,HarperCollins Publishers
Kissing the Witch: Old Tales in New Skins,4.29,3.89,Fiction,Emma Donoghue,3.89,64407721,9780064407724,eng,228,6097,592,2/27/1999,HarperCollins Publishers
Life is Elsewhere,4.04,3.95,Fiction,Milan Kundera/Aaron Asher,3.95,60997028,9780060997021,eng,432,10129,306,7/25/2000,HarperCollins Publishers
Measle and the Dragodon,4.39,3.97,Fiction,Ian Ogilvy,3.97,60586907,9780060586904,eng,352,263,13,1/9/2006,HarperCollins Publishers
The Mad Ship (Liveship Traders  #2),3.41,4.23,Fiction,Robin Hobb,4.23,6498868,9780006498865,eng,906,38753,893,4/2/2008,HarperCollins Publishers
Forest Mage (Soldier Son  #2),4.26,3.39,Fiction,Robin Hobb,3.39,60757639,9780060757632,eng,718,13716,393,8/29/2006,HarperCollins Publishers
The Roald Dahl Audio Collection,4.11,4.41,Fiction,Roald Dahl,4.41,61214965,9780061214967,en-US,4,199,36,2/20/2007,HarperCollins Publishers
Walt Whitman: A Life,4.32,3.99,Non Fiction,Justin Kaplan,3.99,60535113,9780060535117,eng,464,217,17,8/7/2003,HarperCollins Publishers
Die Broke: A Radical Four-Part Financial Plan,4.36,3.64,Non Fiction,Stephen M. Pollan/Mark LeVine,3.64,887309429,9780887309427,en-US,320,270,45,9/23/1998,HarperCollins Publishers
Las Crónicas de Narnia,4.22,4.26,Fiction,C.S. Lewis/Margarita E. Valdes/Gemma Gallart/Pauline Baynes,4.26,61199001,9780061199004,spa,816,186,11,7/11/2006,HarperCollins Publishers
